序号,兑换码,批次号,批次备注,生成时间,使用状态
1,XHS2-CVW3,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
2,XHS2-DC4V,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
3,XHS2-KZHS,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
4,XHS3-4RBQ,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
5,XHS3-87LE,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
6,XHS3-D8YW,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
7,XHS3-Q76A,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
8,XHS3-VNQJ,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
9,XHS3-XCZB,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
10,XHS3-Z3B5,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
11,XHS4-A3DD,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
12,XHS4-R76E,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
13,XHS4-YFQV,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
14,XHS5-CV5Z,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
15,XHS5-GF9K,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
16,XHS6-X96S,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
17,XHS7-8N8A,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
18,XHS7-F34A,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
19,XHS7-L9ZK,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
20,XHS7-M4NM,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
21,XHS8-B65D,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
22,XHS8-GZ4B,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
23,XHS8-TALL,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
24,XHS8-X34X,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
25,XHS9-4SUK,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
26,XHS9-KJDX,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
27,XHSA-22J4,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
28,XHSA-4SB3,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
29,XHSA-8YMW,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
30,XHSA-EGKH,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
31,XHSB-AVV9,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
32,XHSB-SVHE,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
33,XHSC-4EQU,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
34,XHSC-CCRG,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
35,XHSC-QBQ7,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
36,XHSC-V2XA,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
37,XHSD-JS2Q,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
38,XHSD-V5Q7,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
39,XHSE-6KQX,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
40,XHSE-VC9M,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
41,XHSF-4YZH,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
42,XHSF-KP3Q,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
43,XHSF-LH53,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
44,XHSF-P9E7,B72713680,小红书首发活动,2026-03-05 20:28:00,未使用
